customer_id,customer_name,age,gender,city,kyc_verified,device_type,account_open_date,Age_group
CUST0001,Rahul Singh,19,F,BENGALURU,Yes,Android,23-11-2024,18-25
CUST0002,Sneha Joshi,23,F,JAIPUR,Yes,Android,01-06-2024,18-25
CUST0003,Aarav Joshi,30,F,BENGALURU,Yes,Android,16-02-2025,25-35
CUST0004,Neha Iyer,39,F,MUMBAI,No,iOS,15-04-2023,35-45
CUST0005,Saanvi Singh,40,F,KOLKATA,No,Web,15-04-2024,35-45
CUST0006,Vihaan Reddy,23,F,BHOPAL,No,iOS,14-08-2024,18-25
CUST0007,Neha Gupta,20,M,SURAT,No,Android,06-06-2025,18-25
CUST0008,Saanvi Agarwal,47,F,MUMBAI,Yes,Web,01-10-2023,45-55
CUST0009,Manish Gupta,56,M,LUCKNOW,Yes,iOS,04-10-2023,55-65
CUST0010,Neha Joshi,32,F,BHOPAL,No,Android,04-04-2025,25-35
CUST0011,Saanvi Agarwal,22,M,KOLKATA,Yes,iOS,10-02-2024,18-25
CUST0012,Kavya Kumar,34,M,BENGALURU,Yes,Web,21-08-2024,25-35
CUST0013,Sneha Mehta,43,F,BENGALURU,Yes,Android,12-02-2025,35-45
CUST0014,Priya Singh,27,M,SURAT,Yes,iOS,26-01-2024,25-35
CUST0015,Kavya Bhatt,34,M,CHENNAI,Yes,Web,07-02-2025,25-35
CUST0016,Vikram Chauhan,25,F,HYDERABAD,Yes,Web,15-06-2025,25-35
CUST0017,Ishaan Bhatt,29,M,BHOPAL,No,Web,15-09-2024,25-35
CUST0018,Arjun Nair,28,M,KOLKATA,Yes,Android,07-01-2024,25-35
CUST0019,Krishna Verma,33,M,DELHI,No,Web,23-02-2025,25-35
CUST0020,Arjun Shah,53,M,ALWAR,No,iOS,05-08-2023,45-55
CUST0021,Vikram Mishra,63,F,HYDERABAD,Yes,Web,07-04-2024,55-65
CUST0022,Krishna Jain,22,F,JAIPUR,Yes,Web,14-08-2023,18-25
CUST0023,Aditya Verma,32,M,JAIPUR,Yes,Android,13-10-2023,25-35
CUST0024,Myra Mishra,52,M,INDORE,Yes,Android,14-03-2025,45-55
CUST0025,Sanjay Iyer,30,M,DELHI,Yes,iOS,23-04-2024,25-35
CUST0026,Vivaan Singh,21,F,INDORE,No,Android,12-09-2023,18-25
CUST0027,Reyansh Joshi,46,M,HYDERABAD,Yes,Android,14-06-2025,45-55
CUST0028,Kavya Joshi,24,M,CHENNAI,No,Android,10-02-2025,18-25
CUST0029,Sai Iyer,49,F,BENGALURU,No,Android,24-01-2024,45-55
CUST0030,Saanvi Agarwal,47,F,HYDERABAD,Yes,iOS,08-06-2023,45-55
CUST0031,Rohan Mishra,21,M,INDORE,No,Web,03-05-2024,18-25
CUST0032,Manish Bhatt,28,M,LUCKNOW,No,Android,01-09-2024,25-35
CUST0033,Amit Jain,43,M,KOLKATA,Yes,Android,26-09-2024,35-45
CUST0034,Aadhya Mehta,54,F,ALWAR,Yes,iOS,02-09-2023,45-55
CUST0035,Saanvi Kumar,60,F,AHMEDABAD,No,Android,10-01-2023,55-65
CUST0036,Ira Mehta,24,M,LUCKNOW,Yes,Android,24-12-2023,18-25
CUST0037,Sneha Jain,41,F,MUMBAI,No,Web,06-11-2023,35-45
CUST0038,Sanjay Bhatt,18,F,CHENNAI,No,Android,28-09-2023,18-25
CUST0039,Sneha Singh,65,M,ALWAR,Yes,Web,18-12-2023,55-65
CUST0040,Amit Agarwal,50,F,ALWAR,Yes,iOS,29-04-2025,45-55
CUST0041,Vivaan Sharma,39,M,CHENNAI,Yes,iOS,18-07-2024,35-45
CUST0042,Aadhya Joshi,18,M,DELHI,Yes,iOS,19-08-2024,18-25
CUST0043,Arjun Iyer,26,M,ALWAR,No,Android,02-01-2024,25-35
CUST0044,Amit Jain,60,M,PUNE,No,iOS,27-09-2024,55-65
CUST0045,Arjun Jain,28,M,HYDERABAD,Yes,iOS,12-03-2025,25-35
CUST0046,Sanjay Jain,35,M,SURAT,Yes,Android,29-05-2025,35-45
