receiver_id,receiver_name,receiver_type,receiver_city,receiver_bank
RECV0001,Ira Nair,Individual,HYDERABAD,Paytm Bank
RECV0002,Vikram Joshi,Individual,SURAT,Axis
RECV0003,Amit Rao,Individual,BHOPAL,Paytm Bank
RECV0004,Neha Nair,Individual,DELHI,HDFC
RECV0005,Singh Merchant Store,Merchant,LUCKNOW,Unknown
RECV0006,Kumar Merchant Store,Merchant,BHOPAL,Yes Bank
RECV0007,Sharma Merchant Store,Merchant,INDORE,Yes Bank
RECV0008,Singh Merchant Store,Merchant,AHMEDABAD,Yes Bank
RECV0009,Kumar Merchant Store,Merchant,AHMEDABAD,SBI
RECV0010,Amit Rathore,Individual,INDORE,BOB
RECV0011,Aarav Mishra,Individual,KOLKATA,SBI
RECV0012,Neha Gupta,Individual,LUCKNOW,HDFC
RECV0013,Myra Verma,Individual,ALWAR,ICICI
RECV0014,Vikram Iyer,Individual,PUNE,Yes Bank
RECV0015,Manish Reddy,Individual,HYDERABAD,Paytm Bank
RECV0016,Kumar Merchant Store,Merchant,DELHI,Paytm Bank
RECV0017,Arjun Jain,Individual,BHOPAL,SBI
RECV0018,Kavya Joshi,Individual,HYDERABAD,BOB
RECV0019,Krishna Patel,Individual,PUNE,Kotak
RECV0020,Singh Merchant Store,Merchant,SURAT,SBI
RECV0021,Aadhya Rao,Individual,SURAT,Axis
RECV0022,Sharma Merchant Store,Merchant,KOLKATA,Yes Bank
RECV0023,Neha Verma,Individual,BENGALURU,SBI
RECV0024,Krishna Joshi,Individual,BENGALURU,ICICI
RECV0025,Rohan Jain,Individual,BHOPAL,PNB
RECV0026,Vikram Chauhan,Individual,BENGALURU,ICICI
RECV0027,Anika Jain,Individual,HYDERABAD,Kotak
RECV0028,Singh Merchant Store,Merchant,INDORE,BOB
RECV0029,Vivaan Nair,Individual,CHENNAI,BOB
RECV0030,Ananya Iyer,Individual,HYDERABAD,Kotak
RECV0031,Vikram Joshi,Individual,AHMEDABAD,Axis
RECV0032,Neha Kumar,Individual,SURAT,SBI
RECV0033,Aadhya Joshi,Individual,LUCKNOW,BOB
