customer_id,customer_name,age,gender,city,kyc_verified,device_type,account_open_date
CUST0001,Rahul Singh,19,F,BENGALURU,Yes,Android,23-Nov-24
CUST0002,Sneha Joshi,23,F,Jaipur,Yes,Android,01-Jun-24
CUST0003,Aarav Joshi,30,F, Bengaluru,Yes,Android,16-02-2025
CUST0004,Neha Iyer,39,F,MUMBAI,No,iOS,15-04-2023
CUST0005,Saanvi Singh,40,F,kolkata,No,Web,15-Apr-24
CUST0006,Vihaan Reddy,23,F,Bhopal ,No,iOS,14-08-2024
CUST0007,Neha Gupta,20,M,surat,No,Android,06-06-2025
CUST0008,Saanvi Agarwal,47,F,mumbai,Yes,Web,01-Oct-23
CUST0009,Manish Gupta,56,M,LUCKNOW,Yes,iOS,04-Oct-23
CUST0010,Neha Joshi,32,F,Bhopal,,Android,04-04-2025
CUST0011,Saanvi Agarwal,22,M,kolkata,Yes,iOS,10-Feb-24
CUST0012,Kavya Kumar,34,M,Bengaluru ,Yes,Web,21-08-2024
CUST0013,Sneha Mehta,43,F,BENGALURU,Yes,Android,12-02-2025
CUST0014,Priya Singh,27,M, Surat,Yes,iOS,26-Jan-24
CUST0015,Kavya Bhatt,34,M,Chennai,Yes,Web,07-02-2025
CUST0016,Vikram Chauhan,25,F,HYDERABAD,Yes,Web,15-Jun-25
CUST0017,Ishaan Bhatt,29,M,bhopal,No,Web,15-09-2024
CUST0018,Arjun Nair,28,M,kolkata,Yes,Android,07-01-2024
CUST0019,Krishna Verma,33,M, Delhi,No,Web,23-02-2025
CUST0020,Arjun Shah,53,M,Alwar ,No,iOS,05-Aug-23
CUST0021,Vikram Mishra,63,F,hyderabad,Yes,Web,07-04-2024
CUST0022,Krishna Jain,22,F,Jaipur ,Yes,Web,14-08-2023
CUST0023,Aditya Verma,32,M,jaipur,Yes,Android,13-Oct-23
CUST0024,Myra Mishra,52,M,Indore ,Yes,Android,14-03-2025
CUST0025,Sanjay Iyer,30,M, Delhi,Yes,iOS,23-Apr-24
CUST0026,Vivaan Singh,21,F,indore,No,Android,12-09-2023
CUST0027,Reyansh Joshi,46,M,HYDERABAD,Yes,Android,14-06-2025
CUST0028,Kavya Joshi,24,M,Chennai ,No,Android,10-02-2025
CUST0029,Sai Iyer,49,F, Bengaluru,No,Android,24-01-2024
CUST0030,Saanvi Agarwal,47,F,Hyderabad ,Yes,iOS,08-06-2023
CUST0031,Rohan Mishra,21,M,indore,,Web,03-May-24
CUST0032,Manish Bhatt,28,M,Lucknow,No,Android,01-09-2024
CUST0033,Amit Jain,43,M,KOLKATA,Yes,Android,26-09-2024
CUST0034,Aadhya Mehta,54,F,ALWAR,Yes,iOS,02-09-2023
CUST0035,Saanvi Kumar,60,F,ahmedabad,No,Android,10-01-2023
CUST0036,Ira Mehta,24,M,LUCKNOW,Yes,Android,24-12-2023
CUST0037,Sneha Jain,41,F, Mumbai,No,Web,06-Nov-23
CUST0038,Sanjay Bhatt,18,F,Chennai,No,Android,28-09-2023
CUST0039,Sneha Singh,65,M,alwar,Yes,Web,18-12-2023
CUST0040,Amit Agarwal,50,F,Alwar,Yes,iOS,29-04-2025
CUST0041,Vivaan Sharma,39,M,chennai,Yes,iOS,18-Jul-24
CUST0042,Aadhya Joshi,18,M,DELHI,Yes,iOS,19-Aug-24
CUST0043,Arjun Iyer,26,M,alwar,No,Android,02-01-2024
CUST0044,Amit Jain,60,M,Pune ,No,iOS,27-Sep-24
CUST0045,Arjun Jain,28,M,Hyderabad,Yes,iOS,12-03-2025
CUST0046,Sanjay Jain,35,M,Surat,Yes,Android,29-05-2025
CUST0047,Krishna Mishra,47,F,ALWAR,Yes,Web,17-07-2023
CUST0048,Ananya Agarwal,22,F,Pune ,Yes,Web,06-12-2023
CUST0049,Vihaan Agarwal,29,F,Jaipur,Yes,iOS,16-01-2025
CUST0050,Aadhya Rao,50,M,Hyderabad ,Yes,Android,26-12-2024
CUST0051,Aarav Bhatt,52,M, Pune,Yes,Web,05-Dec-23
CUST0052,Ananya Singh,64,F,lucknow,Yes,iOS,17-Feb-24
CUST0053,Rohan Joshi,26,M, Hyderabad,Yes,Android,22-Sep-24
CUST0054,Rohan Reddy,53,M,alwar,Yes,Web,13-Sep-24
CUST0055,Ananya Patel,46,F,CHENNAI,Yes,Web,23-Jun-23
CUST0056,Aditya Rathore,50,F,DELHI,Yes,Android,05-04-2025
CUST0057,Arjun Sharma,20,M,Ahmedabad ,No,Android,11-04-2024
CUST0058,Sneha Mehta,30,F, Ahmedabad,Yes,Web,05-12-2024
CUST0059,Sneha Singh,45,M,Mumbai ,Yes,Web,13-09-2023
CUST0060,Kavya Kumar,47,F, Surat,Yes,Web,31-05-2024
CUST0061,Deepak Joshi,46,M, Indore,Yes,Android,10-May-25
CUST0062,Ishaan Bhatt,49,M, Alwar,Yes,iOS,29-08-2023
CUST0063,Ananya Chauhan,52,M,MUMBAI,Yes,Web,06-Jun-23
CUST0064,Reyansh Gupta,44,F,Pune ,Yes,Android,31-07-2023
CUST0065,Saanvi Mehta,62,M,Bhopal ,Yes,Android,27-12-2023
CUST0066,Vikram Reddy,44,M,AHMEDABAD,Yes,iOS,30-01-2023
CUST0067,Ananya Reddy,64,M, Bhopal,No,Web,30-06-2024
CUST0068,Manish Reddy,55,M, Delhi,Yes,iOS,06-07-2023
CUST0069,Ishaan Reddy,38,M,ahmedabad,Yes,iOS,12-10-2023
CUST0070,Ishaan Gupta,48,M,Indore ,Yes,iOS,18-Aug-23
CUST0071,Aditya Verma,19,M,Bengaluru,Yes,Android,10-05-2023
CUST0072,Amit Singh,54,M,ahmedabad,No,Android,12-Sep-24
CUST0073,Pooja Singh,28,F,Delhi ,Yes,iOS,12-Aug-24
CUST0074,Manish Reddy,43,M,Delhi ,Yes,Web,06-09-2023
CUST0075,Neha Rathore,61,M,Surat ,No,iOS,29-06-2024
CUST0076,Amit Nair,22,F, Jaipur,No,Android,19-03-2024
CUST0077,Rahul Patel,63,M,HYDERABAD,No,Web,04-Oct-23
CUST0078,Sanjay Joshi,48,F,Hyderabad ,Yes,Android,30-04-2025
CUST0079,Ishaan Patel,33,F,Kolkata ,Yes,iOS,30-01-2023
CUST0080,Priya Chauhan,29,F,bengaluru,No,iOS,14-Oct-23
CUST0081,Neha Agarwal,53,M,LUCKNOW,Yes,Web,21-02-2024
CUST0082,Riya Jain,62,F, Chennai,Yes,Android,06-04-2023
CUST0083,Krishna Reddy,62,M,Alwar ,Yes,Web,27-06-2024
CUST0084,Aadhya Joshi,39,F, Indore,Yes,iOS,25-08-2023
CUST0085,Pooja Mishra,38,M,Indore ,No,Web,09-07-2023
CUST0086,Reyansh Shah,35,F,DELHI,Yes,iOS,03-07-2023
CUST0087,Aarav Joshi,26,F,Jaipur,Yes,Web,10-May-23
CUST0088,Priya Shah,24,M,kolkata,Yes,iOS,15-12-2023
CUST0089,Vivaan Agarwal,48,M,Bhopal,Yes,Android,13-Aug-24
CUST0090,Amit Verma,27,M,Surat ,No,Android,12-09-2023
CUST0091,Riya Iyer,56,M,Surat ,Yes,iOS,01-Nov-23
CUST0092,Aadhya Rathore,54,M,Kolkata,No,Android,02-10-2024
CUST0093,Ishaan Gupta,28,M,Mumbai ,Yes,Android,23-02-2024
CUST0094,Neha Rao,48,F,JAIPUR,Yes,iOS,20-12-2024
CUST0095,Aditya Jain,34,M,Hyderabad,Yes,Web,02-06-2023
CUST0096,Deepak Kumar,22,M,mumbai,Yes,Web,23-10-2023
CUST0097,Vihaan Patel,62,F, Indore,No,Web,06-07-2024
CUST0098,Kavya Gupta,56,M,hyderabad,Yes,Android,04-04-2023
CUST0099,Amit Mehta,55,M,surat,Yes,Android,26-Apr-24
CUST0100,Rahul Patel,35,M, Kolkata,Yes,iOS,04-04-2023
CUST0101,Diya Iyer,39,F,Chennai,No,iOS,26-Feb-24
CUST0102,Myra Rathore,60,F,Bhopal ,Yes,Android,19-11-2023
CUST0103,Ananya Singh,43,M,Chennai ,Yes,Android,12-Jul-23
CUST0104,Diya Rao,49,F,Surat,Yes,Web,15-05-2023
CUST0105,Kavya Shah,25,M,Chennai ,No,Web,12-06-2023
CUST0106,Riya Sharma,53,F,DELHI,No,Android,17-04-2024
CUST0107,Rahul Kumar,49,F,lucknow,Yes,iOS,28-04-2024
CUST0108,Kavya Joshi,27,F,Bengaluru ,Yes,Android,03-06-2025
CUST0109,Ishaan Iyer,39,F,Bhopal,Yes,iOS,07-May-25
CUST0110,Pari Shah,27,F, Lucknow,Yes,Web,20-Feb-25
CUST0111,Saanvi Patel,38,M,INDORE,Yes,Android,26-05-2025
CUST0112,Vivaan Chauhan,65,F, Indore,Yes,Web,22-Mar-25
CUST0113,Arjun Shah,20,M,Lucknow ,Yes,Android,14-06-2025
CUST0114,Vihaan Bhatt,47,M,INDORE,Yes,Web,08-06-2023
CUST0115,Myra Agarwal,39,F,Chennai,No,Web,29-May-25
CUST0116,Saanvi Chauhan,58,F,Bhopal ,Yes,Android,29-Aug-23
CUST0117,Amit Rathore,32,M,Hyderabad,No,Web,12-06-2025
CUST0118,Kavya Yadav,62,F,Jaipur,Yes,Android,28-10-2023
CUST0119,Diya Iyer,27,M, Lucknow,Yes,Android,24-06-2023
CUST0120,Aditya Rao,42,M,Ahmedabad ,Yes,iOS,15-10-2024
CUST0121,Kavya Agarwal,60,M, Surat,No,Web,13-07-2024
CUST0122,Aditya Patel,40,F, Chennai,Yes,iOS,15-05-2025
CUST0123,Reyansh Reddy,48,M, Bengaluru,Yes,Web,30-Oct-23
CUST0124,Rohan Sharma,60,F,Alwar,Yes,Web,07-Mar-25
CUST0125,Vivaan Rao,65,F,bhopal,No,Android,13-09-2024
CUST0126,Krishna Mishra,57,F,CHENNAI,Yes,Web,23-10-2024
CUST0127,Rohan Patel,20,F,INDORE,Yes,iOS,01-Dec-23
CUST0128,Aadhya Yadav,30,M,Surat ,No,iOS,27-Jun-24
CUST0129,Manish Agarwal,28,F, Bhopal,No,iOS,03-02-2025
CUST0130,Sanjay Singh,47,M,MUMBAI,No,Web,21-11-2024
CUST0131,Priya Joshi,41,M, Surat,Yes,Web,07-05-2023
CUST0132,Diya Agarwal,55,F,bhopal,Yes,Android,27-04-2024
CUST0133,Ira Joshi,38,M,Chennai,Yes,iOS,18-12-2024
CUST0134,Rahul Iyer,25,M,Jaipur,Yes,iOS,29-04-2023
CUST0135,Krishna Joshi,26,F,ahmedabad,Yes,Web,14-Dec-24
CUST0136,Aadhya Mehta,65,M,Hyderabad,No,Web,22-02-2024
CUST0137,Vivaan Nair,31,F,AHMEDABAD,No,Android,03-12-2024
CUST0138,Riya Nair,21,F,ALWAR,No,iOS,04-Apr-23
CUST0139,Reyansh Rao,19,M,surat,Yes,Android,16-Mar-25
CUST0140,Reyansh Gupta,53,M,KOLKATA,No,Android,03-12-2023
CUST0141,Sanjay Rao,18,F,BHOPAL,No,Web,14-09-2023
CUST0142,Vihaan Sharma,26,M,PUNE,Yes,Android,28-06-2023
CUST0143,Vivaan Kumar,65,F,Lucknow,,iOS,04-04-2024
CUST0144,Anika Mehta,24,F,LUCKNOW,No,Android,14-Jan-25
CUST0145,Anika Rathore,47,M, Jaipur,No,iOS,03-12-2024
CUST0146,Myra Patel,22,M,Pune ,Yes,Android,09-Oct-23
CUST0147,Rahul Mehta,53,F,Hyderabad ,Yes,iOS,01-Jun-24
CUST0148,Aadhya Singh,62,M,Bhopal ,No,Android,16-03-2024
CUST0149,Sneha Jain,44,F, Bhopal,Yes,Web,08-04-2023
CUST0150,Aadhya Chauhan,60,F,PUNE,Yes,iOS,10-03-2023
CUST0151,Deepak Gupta,23,F,delhi,No,Web,03-Mar-23
CUST0152,Riya Joshi,39,M,hyderabad,No,iOS,07-Jun-25
CUST0153,Vivaan Rathore,56,F,Pune,Yes,Android,08-Jun-23
CUST0154,Myra Jain,24,F,Bhopal ,Yes,iOS,10-08-2024
CUST0155,Sanjay Iyer,53,M,kolkata,Yes,iOS,20-12-2024
CUST0156,Manish Chauhan,40,M,MUMBAI,Yes,iOS,13-03-2023
CUST0157,Pooja Sharma,23,M, Hyderabad,Yes,Android,14-01-2024
CUST0158,Pooja Chauhan,54,M,JAIPUR,Yes,Web,20-Feb-23
CUST0159,Aditya Agarwal,46,F,Ahmedabad ,Yes,iOS,09-Aug-23
CUST0160,Vihaan Nair,45,M,Alwar ,Yes,Web,12-11-2023
CUST0161,Krishna Reddy,56,M,JAIPUR,Yes,Android,24-02-2025
CUST0162,Vikram Agarwal,36,F,Delhi,Yes,iOS,29-06-2023
CUST0163,Saanvi Joshi,63,M,Lucknow ,No,iOS,15-03-2023
CUST0164,Priya Verma,45,M,Ahmedabad,No,Web,15-Mar-24
